id,dice_score_select,dice_oracle_select,dice_box_point,dice_strong_baseline
BRATS_476_z108,0.3687000269514251,0.5911986961022504,0.3317972350227732,0.3024181657325992
BRATS_476_z105,0.39194108185863713,0.5719120135356346,0.3505716665402055,0.31537361215154597
BRATS_476_z134,0.018181818180991734,0.024390243900951812,0.008064516128869667,0.005856515373267108
BRATS_476_z086,0.3505727178057088,0.44455670623782634,0.3877589811815477,0.7190213101786938
BRATS_476_z126,0.384861145243586,0.8073292615168944,0.36359414905882614,0.30202507232342907
BRATS_011_z095,0.43340627279326516,0.7254489164077703,0.41378830083536644,0.4127248732371933
BRATS_011_z103,0.4978809967786931,0.5096304008324574,0.4997872883514849,0.6027906976737956
BRATS_011_z089,0.4136785687322309,0.6728320600446686,0.37477773218412336,0.32485624518328005
BRATS_011_z075,0.05241786637116125,0.08852867830368748,0.054636398614641646,0.056237623762153514
BRATS_011_z108,0.5466277733576004,0.5721158294008954,0.5622840516452424,0.8217054263554909
BRATS_011_z093,0.42854028918082643,0.6513761467881608,0.41141183035685586,0.9440027652939095
BRATS_011_z078,0.12247348409020918,0.38290293855402585,0.1322099805570702,0.1621192052975838
BRATS_011_z121,0.5280988897784958,0.6927610699702391,0.5847908745239736,0.4973054537610505
BRATS_368_z087,0.3421576999712096,0.404113591211401,0.3697323900334566,0.21390437774337767
BRATS_368_z059,0.10504718916679309,0.13138686131351343,0.09931840311567806,0.07163844969907425
BRATS_368_z070,0.379991473638795,0.4728445958048524,0.3623306233057421,0.30739165421277453
BRATS_368_z051,0.013776722090228559,0.036363636363391495,0.013318025258293184,0.009941720946160538
BRATS_368_z129,0.00589101620020779,0.010810810810518627,0.005464480874242289,0.005174644243141337
BRATS_368_z076,0.4054054054048786,0.5291938613502748,0.3433098591545518,0.5673003802270584
BRATS_368_z085,0.32213383247513133,0.4093843098306736,0.34361585304947223,0.3345992793842296
BRATS_368_z081,0.4130858107225586,0.5158676569876505,0.38852258852211413,0.0
BRATS_478_z047,0.42585377034053207,0.5591160220973882,0.44407265774272453,0.5375907111740563
BRATS_478_z100,0.0,0.04255319148898446,0.020041753653360996,0.008149405772481919
BRATS_478_z093,0.06904149834728417,0.07544141251991283,0.05479452054786536,0.04302059496562583
BRATS_478_z048,0.4489708404793118,0.5648660144595284,0.4722598105537387,0.570960698688398
BRATS_478_z068,0.4184404119662398,0.5260933181587936,0.46508459180144757,0.4369095108120544
BRATS_478_z059,0.5302360813021963,0.543478260868862,0.5345551737297511,0.5787576261777887
BRATS_478_z096,0.0,0.11372064276744474,0.08531422989226534,0.04121440931250399
BRATS_478_z058,0.5227651660888512,0.5333682282118118,0.5262070746184789,0.5315597287421341
BRATS_156_z066,0.39522694323609053,0.5103129958167385,0.39963894843709824,0.4232702896813363
BRATS_156_z095,0.33698606119020164,0.4429250202799363,0.42999440402861777,0.2294964458513652
BRATS_156_z101,0.3718111346013082,0.45812455261192175,0.3670005564825167,0.4510172679082732
BRATS_156_z099,0.28477778848907276,0.37788018433131354,0.2714325094181095,0.3644214162344382
BRATS_156_z049,0.5598024871977324,0.6377578001050895,0.5616513761462737,0.5531261293815024
BRATS_156_z119,0.2389687654927145,0.2389687654927145,0.1645331967909805,0.1178196040086558
BRATS_156_z070,0.33915287687852885,0.4910023310018731,0.3369723801376782,0.3237156251508754
BRATS_156_z078,0.34523574669543045,0.5136393878905051,0.3360368575129164,0.3360199577814546
BRATS_373_z114,0.22332780541674038,0.3187933143077098,0.24097822845141373,0.6912621359156189
BRATS_373_z110,0.16521264994502396,0.38495857233661596,0.23877068557825545,0.5348189414992125
BRATS_373_z104,0.07663410969167306,0.12797992471688846,0.08485856905122771,0.06521739130413934
BRATS_373_z129,0.07255139056788058,0.14047619047451815,0.06945261918734873,0.03882877148300819
BRATS_373_z120,0.22300319488746645,0.3141693073774823,0.24261383385386648,0.25567765567671913
BRATS_373_z108,0.14773396115318502,0.269747447607363,0.19367283950542566,0.413851351347856
BRATS_373_z105,0.10400562192514405,0.16417082639953318,0.12307692307641133,0.062184873949449194
BRATS_373_z118,0.23240086074321425,0.3126550868473422,0.25601083643665423,0.889159561499523
BRATS_423_z059,0.37293372470203473,0.48571428571330844,0.365093768904469,0.4089446044377284
BRATS_423_z057,0.35969191270813905,0.4108504398820955,0.3250202992688493,0.3266114931806427
BRATS_423_z051,0.4847508058511223,0.6940451745364042,0.4603604664854984,0.36634498266619847
BRATS_423_z023,0.01686340640781006,0.01930501930464662,0.016750418760188436,0.01666666666638889
BRATS_423_z026,0.3061224489767521,0.32132424537174953,0.30527289546433606,0.31015037593693473
BRATS_423_z035,0.37826019053509563,0.6545754328094131,0.4569811320746095,0.34002527025082124
BRATS_423_z048,0.5240506329107291,0.6588160407373348,0.45964250027705156,0.545814628993206
BRATS_423_z042,0.4796109240547704,0.5816636308430758,0.45595732068707057,0.4458613494082473
BRATS_152_z080,0.3324214903160453,0.5375619007475106,0.3004351265821299,0.29129662522188504
BRATS_152_z104,0.4017765190522645,0.6343785573831787,0.3908333855109944,0.3792914869050378
BRATS_152_z115,0.4391744648116406,0.5388486945571896,0.5296846011123536,0.36949956859321664
BRATS_152_z111,0.5070722109959511,0.6188992731040772,0.49843194647658534,0.4024307900064125
BRATS_152_z091,0.4154193151525449,0.5696774193543792,0.4287830687828419,0.3921037352426978
BRATS_152_z100,0.42501007542148367,0.5744045078113426,0.4097696364138719,0.40721535745785126
BRATS_152_z069,0.37505260499926346,0.47415485278028985,0.3434561430550767,0.32963291888667134
BRATS_152_z079,0.32992912550905185,0.5492702470661553,0.29423182202742537,0.2824113881722163
BRATS_268_z074,0.36148762722475447,0.5097130393289416,0.35314075679734547,0.34657540581771884
BRATS_268_z070,0.3415110119875748,0.44683567390087736,0.34132070214528587,0.3499833341267797
BRATS_268_z052,0.2955145118728923,0.3274853801163958,0.23442501846806893,0.16439302365725747
BRATS_268_z108,0.4549818522415935,0.7580899763205247,0.4101319261209391,0.2777896919005806
BRATS_268_z102,0.45606418121712494,0.7337494291357379,0.43096682126254815,0.32295147707504146
BRATS_268_z056,0.18504085480818036,0.2751332825587632,0.1802044439002386,0.17107327561149915
BRATS_268_z121,0.007483629560266758,0.007789678675678777,0.0030816640986013806,0.0020010005002451202
BRATS_268_z090,0.45787853344496365,0.6966558791793994,0.40889777555585544,0.47672965223110303
