id,case_id,z,sam_score,dice,iou,sens,spec
liver_19_z475,liver_19,475,0.9792375564575195,0.8884929426893872,0.7993587956510179,0.9998256503242905,0.9691946578945128
liver_19_z491,liver_19,491,1.0001451969146729,0.960372542873792,0.9237660435869379,1.0,0.9964799936361468
liver_19_z380,liver_19,380,0.9804264903068542,0.9798881870326073,0.9605693950178217,0.9975607953285552,0.9979043903223861
liver_19_z437,liver_19,437,0.9624320864677429,0.9617841063763001,0.9263816054860996,0.9963844095740844,0.9857924289734753
liver_19_z386,liver_19,386,0.9808157682418823,0.9179996206613397,0.8484281874489609,0.8824065633546749,0.997317747233291
liver_63_z092,liver_63,92,0.989307701587677,0.9219168781045914,0.8551445239990353,1.0,0.991233525246244
liver_63_z087,liver_63,87,0.9645292162895203,0.9116616816749713,0.8376638645582748,0.9985284327809122,0.9765371163897734
liver_63_z073,liver_63,73,0.9793654084205627,0.9309915801047625,0.8708926541439556,0.990335487842419,0.9909393694158988
liver_63_z077,liver_63,77,0.9553185105323792,0.8485292647989858,0.7369091014292263,1.0,0.9615755137912402
liver_63_z080,liver_63,80,0.960318386554718,0.9583194687576918,0.9199744451543235,0.9822355348616559,0.9900098500601953
liver_63_z093,liver_63,93,0.9974237680435181,0.9188488462536,0.8498800959233814,1.0,0.9925331594516368
liver_63_z068,liver_63,68,0.9796338081359863,0.9261019170899961,0.8623741226733167,0.9951872285479573,0.9948270083785118
liver_63_z088,liver_63,88,0.9599131941795349,0.8214553014553312,0.69700818515391,0.999473854621985,0.9548425681025643
liver_5_z318,liver_5,318,0.969989538192749,0.940136054422176,0.8870346598217326,0.9971139971140388,0.9996710664713465
liver_5_z405,liver_5,405,0.9681548476219177,0.8796747967480051,0.7851959361394523,0.8797848386290469,0.9921756934626825
liver_5_z330,liver_5,330,0.9272568225860596,0.8893353423742016,0.8007235453729251,0.9962490622655804,0.9974911167806135
liver_5_z321,liver_5,321,0.9389572143554688,0.9410664172126236,0.8886925795062838,0.961759082218339,0.9996706217588798
liver_5_z449,liver_5,449,0.99422287940979,0.9707066639822904,0.9430806845966049,0.9974141497724465,0.9954120127837635
liver_5_z398,liver_5,398,0.9624466896057129,0.8986579308887602,0.8159662252927679,0.9012930120823138,0.9940320414853767
liver_5_z483,liver_5,483,0.9542917609214783,0.4509298998585095,0.29109715552533766,1.0,0.9926575246024583
liver_5_z430,liver_5,430,0.978215217590332,0.9565178789425884,0.9166595762784324,0.99368197749493,0.9924228561922984
liver_81_z316,liver_81,316,0.9949931502342224,0.9656591791132744,0.933598635588478,0.9870176703930917,0.9981246922091993
liver_81_z277,liver_81,277,0.9547282457351685,0.7860910708767371,0.647570054076893,0.9984029018461377,0.9111286755890307
liver_81_z225,liver_81,225,0.8792636394500732,0.42238052834690476,0.2677328316089992,0.9113032340699467,0.9413281854488921
liver_81_z312,liver_81,312,0.9920635223388672,0.9533687424198263,0.9108926716215848,0.9977240896358563,0.9956565092533505
liver_81_z239,liver_81,239,0.899743378162384,0.567248099163085,0.39591509097413613,0.8730741493477525,0.925542040819636
liver_81_z258,liver_81,258,0.94931560754776,0.7103616255084422,0.5508223386951834,0.9996719913405715,0.8927595539957829
liver_81_z281,liver_81,281,0.9641484022140503,0.7956319611536549,0.6606219490147061,0.9998905399118847,0.9168133119977342
liver_81_z279,liver_81,279,0.9633191823959351,0.7878469617404579,0.6499566778067212,0.9999727950378149,0.9121728945009934
liver_4_z467,liver_4,467,0.937608003616333,0.8429181635597518,0.7284862116175121,0.9973558255514284,0.952524465378209
liver_4_z462,liver_4,462,0.9234769344329834,0.7867875465598725,0.6485158838659665,0.9998928226930085,0.9352303835526372
liver_4_z459,liver_4,459,0.9320796132087708,0.7964760073342283,0.6617865636148282,0.9998502937984206,0.942023999150475
liver_4_z359,liver_4,359,0.9652726650238037,0.8307379823973231,0.7104806022020238,0.9991856677524497,0.9980875070904046
liver_4_z431,liver_4,431,0.9839014410972595,0.9002534240724679,0.8186007974730368,0.9993678088253892,0.9858196049138139
liver_4_z487,liver_4,487,0.9400119781494141,0.8670948373443739,0.7653728360738145,0.9975653257084626,0.9527556972238042
liver_4_z567,liver_4,567,0.98346346616745,0.9684238694139825,0.9387808041505069,0.9852981214266401,0.9978257839721255
liver_4_z543,liver_4,543,0.9811161160469055,0.9338313201949653,0.8758757763975463,0.9895581878403442,0.9795866112185354
liver_41_z027,liver_41,27,0.9671178460121155,0.9373546614051601,0.8820954907163367,0.9996993837366606,0.9965282534414129
liver_41_z019,liver_41,19,0.9267416596412659,0.7464324917675206,0.5954465849392945,1.0,0.9892584785169575
liver_41_z009,liver_41,9,0.938973605632782,0.7112701252246466,0.5519156024455751,1.0,0.9969098219414131
liver_41_z076,liver_41,76,0.9632952213287354,0.7849708527058855,0.646051046967941,1.0,0.9203876199297496
liver_41_z097,liver_41,97,0.992813766002655,0.9346483904788045,0.8773144773291461,0.9998338456426021,0.9932788766407981
liver_41_z083,liver_41,83,0.9568058848381042,0.798661393367837,0.6648095623987713,1.0,0.9278547414413385
liver_41_z065,liver_41,65,0.9282204508781433,0.6764749962532252,0.5111161438871569,0.9996677863497103,0.8898333567323161
liver_41_z084,liver_41,84,0.9596560597419739,0.8124304661425038,0.684111913433468,1.0,0.9346608722915098
liver_1_z050,liver_1,50,0.9660717844963074,0.6997428948649504,0.5381573321934918,0.9970297029703,0.965831362777929
liver_1_z061,liver_1,61,0.9382925629615784,0.7085649245945453,0.5486647668851099,0.9998126288176878,0.8633405253909352
liver_1_z066,liver_1,66,0.9551196694374084,0.9766941989083736,0.9544499775790153,0.9975333612885726,0.9917419890524951
liver_1_z062,liver_1,62,0.9092559814453125,0.7392901548547776,0.5864078540369112,0.9999745183977169,0.8758322117541554
liver_1_z071,liver_1,71,0.9487928152084351,0.8512675651737124,0.7410494727629972,0.999943760193465,0.9745788028465858
liver_1_z068,liver_1,68,0.9784423112869263,0.8886908721244131,0.799679270000497,0.999802326894838,0.96091420708149
liver_1_z048,liver_1,48,0.960228681564331,0.8988185752720799,0.8162311451034284,0.9786041772797285,0.9969754238666554
liver_1_z059,liver_1,59,0.9383666515350342,0.6812965944399765,0.5166412641140444,0.9990977172245784,0.8643526507787472
liver_124_z195,liver_124,195,0.9884576201438904,0.9562808414856235,0.9162242866623819,1.0,0.9980321174027068
liver_124_z237,liver_124,237,0.9608279466629028,0.9488775765668115,0.9027279367398447,0.9996131800119564,0.9869409131947273
liver_124_z199,liver_124,199,0.9340637922286987,0.6067847593584531,0.43552836751863044,0.9777837619496731,0.9636969656520781
liver_124_z192,liver_124,192,0.976416289806366,0.9655605568931587,0.9334142886056802,0.9997832213310215,0.9987263669228171
liver_124_z228,liver_124,228,0.9398032426834106,0.7569399466795564,0.6089327258628323,0.9997612700433693,0.9319398677698533
liver_124_z225,liver_124,225,0.9357675909996033,0.698984566003255,0.5372607793406647,0.9988854117546195,0.9160738138407267
liver_124_z273,liver_124,273,1.0026942491531372,0.8302687411601304,0.7097944377276004,1.0,0.9963047929914242
liver_124_z271,liver_124,271,0.9991304874420166,0.8973360008424793,0.8137891520248017,1.0,0.9962192156908367
liver_61_z168,liver_61,168,0.9801149368286133,0.9128537619564253,0.8396789042835802,0.999109600129513,0.9687358384944168
liver_61_z159,liver_61,159,0.9615886807441711,0.8936866986227345,0.8078061589878711,0.9999704491725768,0.9647399957950817
liver_61_z180,liver_61,180,0.9747937917709351,0.6936192822297765,0.5309472750132878,0.9994432071269496,0.9751372764355203
liver_61_z163,liver_61,163,0.9796766638755798,0.8922397665195075,0.8054448422617475,0.9995528852871316,0.96190122769583
liver_61_z182,liver_61,182,0.9896702766418457,0.7972461273667838,0.6628506010308202,1.0,0.9908509118021688
liver_61_z141,liver_61,141,0.9464594721794128,0.6528242515567947,0.4845872947989984,0.9737555364580064,0.9381823923049856
liver_61_z160,liver_61,160,0.9598421454429626,0.9470356391794289,0.8993995185567549,0.999647183347054,0.9833824277172872
liver_61_z183,liver_61,183,0.9895720481872559,0.7374424215839686,0.5840861709527726,1.0,0.9907489701756694
liver_40_z044,liver_40,44,0.9496465921401978,0.8715324222158352,0.7723149866009354,0.9989334755365965,0.9913565265882042
liver_40_z053,liver_40,53,0.8893390893936157,0.5546981228699863,0.3837939545000651,0.974740892447108,0.8991590490629271
liver_40_z035,liver_40,35,0.9758778214454651,0.9299299299300469,0.8690364826945151,0.9925213675213942,0.998461455409199
liver_40_z099,liver_40,99,0.9794437289237976,0.9563167038967546,0.9162901307966927,0.9985026922744684,0.9862981773409851
liver_40_z111,liver_40,111,0.9830062985420227,0.9319735271781144,0.8726127590412991,0.980369778589408,0.9979011727827501
liver_40_z084,liver_40,84,0.9692220091819763,0.9618522697682534,0.9265080891267241,0.995843724023276,0.9846944167474608
liver_40_z102,liver_40,102,0.9609067440032959,0.9118118982967305,0.8379175409743556,0.9986819426138096,0.975588570445702
liver_40_z088,liver_40,88,0.9810858368873596,0.969459113902944,0.9407284339533205,0.998054207490157,0.9878147029204437
liver_32_z073,liver_32,73,0.9631679058074951,0.8997140564892926,0.8177093071084703,0.9796174349325899,0.9815695873172082
liver_32_z028,liver_32,28,0.980538547039032,0.9481241315425009,0.90136503742888,0.9995117187500023,0.9991426242618111
liver_32_z023,liver_32,23,0.9713504314422607,0.9317269076308649,0.872180451129021,0.9946409431940553,0.9994984897266961
liver_32_z133,liver_32,133,0.9888612627983093,0.9653662932921779,0.9330512692883697,0.9954859267127045,0.9990246847641827
liver_32_z087,liver_32,87,0.980995237827301,0.9730866742818971,0.9475840364632931,0.9949294972226193,0.9922744550495733
liver_32_z020,liver_32,20,0.9471160173416138,0.8690176322434633,0.7683741648158491,0.9942363112393592,0.9996103851457427
liver_32_z069,liver_32,69,0.963259756565094,0.8339077412513622,0.7151301580085199,0.9949391111814039,0.9694787704328172
liver_32_z040,liver_32,40,0.9906529784202576,0.9671084928817211,0.9363117870723644,0.998175922172683,0.9987325531666732
liver_97_z628,liver_97,628,0.9945819973945618,0.8172016511614705,0.6909053026360131,1.0,0.9883880209148694
liver_97_z629,liver_97,629,0.9935111999511719,0.7977734030277661,0.6635798983628869,1.0,0.9883754507000488
liver_97_z423,liver_97,423,0.975978434085846,0.9418344519017287,0.8900634249477269,0.9976303317535685,0.9992167583008262
liver_97_z537,liver_97,537,0.9644207954406738,0.925322199097723,0.86102290223252,0.998020188500363,0.9747836770048004
liver_97_z517,liver_97,517,0.9686319828033447,0.8808152414709968,0.7870150435471663,0.9967576962930786,0.9656672135453688
liver_97_z482,liver_97,482,0.9506608843803406,0.9389620093108976,0.8849466442771871,0.9212247659862856,0.997025489955403
liver_97_z533,liver_97,533,0.9644680619239807,0.921764982005956,0.8548831809607085,0.9976291278577484,0.9739054491562068
liver_97_z465,liver_97,465,0.9589866399765015,0.9662844596243151,0.9347682431795197,0.9710699225262616,0.998428240860181
liver_87_z466,liver_87,466,0.9894839525222778,0.9677203172121437,0.9374594243671555,0.9974671885793289,0.998921648868701
liver_87_z502,liver_87,502,0.9415441155433655,0.6194979905182251,0.4487483439092641,0.9865103088832785,0.9372332866313148
liver_87_z586,liver_87,586,0.9636759757995605,0.8852040506206147,0.7940502933415206,0.9995607291895455,0.9582358674463957
liver_87_z520,liver_87,520,0.9687865376472473,0.963026619157417,0.9286898168735381,0.9973084436726732,0.9928819074146104
liver_87_z485,liver_87,485,0.9618880748748779,0.9310599602160097,0.8710123351766577,0.9948985788898397,0.9953881478155734
liver_87_z477,liver_87,477,0.9630324244499207,0.9544489025254076,0.9128668171558874,0.9696291560102788,0.998479803664103
liver_87_z429,liver_87,429,0.9432144165039062,0.8489736070392304,0.7375796178377378,1.0,0.9992124328560779
liver_87_z609,liver_87,609,0.9424994587898254,0.7861943961936814,0.6477103036337581,0.9977476398140616,0.9532611894212895
liver_50_z150,liver_50,150,0.9614354372024536,0.9240821102930791,0.8588779117195152,0.9633018196605029,0.9952597430907587
liver_50_z158,liver_50,158,0.9738008379936218,0.7047988366470925,0.5441616766501186,0.981106612685815,0.9977238210732089
liver_50_z103,liver_50,103,0.950047492980957,0.8635184224185029,0.7598173515989046,0.8785638859560768,0.9982877174579546
liver_50_z137,liver_50,137,0.9584144353866577,0.9323958198942217,0.8733534743202928,0.998434262030855,0.9870647883574782
liver_50_z149,liver_50,149,0.9695024490356445,0.8133743221305608,0.6854514758108602,0.9970361588618876,0.9785567339764724
liver_50_z120,liver_50,120,0.9530144929885864,0.7343341207549763,0.5801958738060607,0.9919709031018447,0.9582262937650479
liver_50_z097,liver_50,97,0.9272043108940125,0.8598306679222971,0.7541254125453115,0.9326530612258642,0.9995566664373562
liver_50_z129,liver_50,129,0.9399451017379761,0.9060509554140347,0.8282387190684869,0.9935291700903895,0.983986615678777
